TRX_TAG	HEADER	STOCK_CODE	BOX_ITEM_CODE	BOX_ITEM_DESC	PACKAGING	QTY	CONVF	TOTAL_PCS	TOTAL_AMOUNT	BARCODE	BOX_NO	ART_HIERC1	ART_HIERC2	ART_HIERC3	ART_HIERC4	DESC_CODE	ART_PRODT	PLANT	WAREHOUSE	RACK	BIN	STEXT	DATETIME
20220000000003	20220000000008	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	444422000000160006	6	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	LIBERTAD	LIBERTAD		2022-10-03 13:07:36
20220000000003	20220000000009	22092810000000011	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	444422000000160001	1	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-03 14:20:26
20220000000004	20220000000009	22092810000000009	LCT31505	#056ABSTRACT-asstddesign	BOX	1	1.00	1	199.00000	444422000000150002	2	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	PASODEBLAS	PASODEBLAS		2022-10-03 14:20:26
20220000000004	20220000000011	22092810000000007	LBT01504	#0071YELLOWSLEEVELESSasstdcolor	BOX	1	10.00	10	990.00000	444422000000130001	1	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-07 15:44:21
20220000000004	20220000000011	22092810000000007	LBT01504	#0071YELLOWSLEEVELESSasstdcolor	BOX	1	10.00	10	990.00000	444422000000130002	2	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	ANTIPOLO	ANTIPOLO		2022-10-07 15:44:21
20220000000004	20220000000011	22092810000000008	LBT01506	#0272FLOWERTOPasstdcolor	BOX	1	1.00	1	99.00000	444422000000140001	1	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-07 15:44:21
20220000000004	20220000000011	22092810000000008	LBT01506	#0272FLOWERTOPasstdcolor	BOX	1	1.00	1	99.00000	444422000000140002	2	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-07 15:44:21
20220000000008	CWO2210110000000001	22100610000000007	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	444422000000270002	2	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-11 16:07:59
20220000000008	CWO2210110000000001	22100610000000007	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	444422000000270003	3	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-11 16:07:59
20220000000008	CWO2210110000000001	22100610000000007	LBT01501	#0050bluesleevelessASSTDCOLOR	BOX	1	20.00	20	1980.00000	444422000000270004	4	LOCAL	CLOTHING	WOMEN	DRESS		FG	PL-001	W1-G1	KALENTONG	KALENTONG		2022-10-11 16:07:59
